"zip_code","sido","gugun","dong","ri"
"467-702",경기,이천시,갈산동,
"467-070",경기,이천시,갈산동,
"467-140",경기,이천시,고담동,
"467-706",경기,이천시,관고동,
"467-705",경기,이천시,관고동,
"467-704",경기,이천시,관고동,
"467-703",경기,이천시,관고동,
"467-020",경기,이천시,관고동,
"467-708",경기,이천시,관고동,
"467-707",경기,이천시,관고동,
"467-120",경기,이천시,단월동,
"467-850",경기,이천시,대월면,
"467-735",경기,이천시,대월면,
"467-776",경기,이천시,대월면,
"467-739",경기,이천시,대월면,
"467-737",경기,이천시,대월면,
"467-736",경기,이천시,대월면,
"467-851",경기,이천시,대월면,구시리
"467-851",경기,이천시,대월면,군량리
"467-852",경기,이천시,대월면,대대1리
"467-851",경기,이천시,대월면,대대2리
"467-852",경기,이천시,대월면,대대리
"467-852",경기,이천시,대월면,대흥리
"467-851",경기,이천시,대월면,도리리
"467-853",경기,이천시,대월면,부필리
"467-854",경기,이천시,대월면,사동1리
"467-854",경기,이천시,대월면,사동2리
"467-854",경기,이천시,대월면,사동3리
"467-855",경기,이천시,대월면,사동4리
"467-853",경기,이천시,대월면,사동5리
"467-854",경기,이천시,대월면,사동6리
"467-854",경기,이천시,대월면,사동리
"467-738",경기,이천시,대월면,사동리
"467-853",경기,이천시,대월면,송라리
"467-853",경기,이천시,대월면,장평리
"467-852",경기,이천시,대월면,초지1리
"467-853",경기,이천시,대월면,초지2리
"467-857",경기,이천시,대월면,초지3리
"467-852",경기,이천시,대월면,초지리
"467-856",경기,이천시,대월면,초지리
"467-130",경기,이천시,대포동,
"467-859",경기,이천시,대포동,
"467-810",경기,이천시,마장면,
"467-814",경기,이천시,마장면,각평리
"467-811",경기,이천시,마장면,관리
"467-812",경기,이천시,마장면,덕평리
"467-813",경기,이천시,마장면,목리
"467-814",경기,이천시,마장면,양촌리
"467-814",경기,이천시,마장면,오천리
"467-813",경기,이천시,마장면,이치1리
"467-813",경기,이천시,마장면,이치2리
"467-813",경기,이천시,마장면,이치3리
"467-813",경기,이천시,마장면,이치리
"467-812",경기,이천시,마장면,이평리
"467-814",경기,이천시,마장면,작촌리
"467-811",경기,이천시,마장면,장암리
"467-813",경기,이천시,마장면,표교리
"467-744",경기,이천시,마장면,해월리
"467-812",경기,이천시,마장면,해월리
"467-811",경기,이천시,마장면,회억리
"467-870",경기,이천시,모가면,
"467-871",경기,이천시,모가면,두미리
"467-872",경기,이천시,모가면,산내리
"467-872",경기,이천시,모가면,서경리
"467-873",경기,이천시,모가면,소고리
"467-873",경기,이천시,모가면,소사리
"467-872",경기,이천시,모가면,송곡리
"467-871",경기,이천시,모가면,신갈리
"467-873",경기,이천시,모가면,양평리
"467-871",경기,이천시,모가면,어농리
"467-873",경기,이천시,모가면,원두리
